Field,Qualifier,Areas,Rule
BWI,Arrivals,"4, 6","KBWI arrivals from Area 4 are routed AIR EMI STAR or NUSMM ANTHM STAR, with KEMAN being the furthest 'direct' routing allowed. Area 6 has control for left or right turns up to 15°, south of J64 and is responsible for any resulting coordination."
"CLE, CLE sats",Departures,"4, 5, 7",KCLE and KCLE satellites departures to the east and northeast must not be handed off to RAV sector for higher altitude.
"CLE, CAK",Departures,"4, 5, 8",KCLE and KCAK departures to KMDT are restricted to at or below FL230.
CMH,Arrivals,"4, 5","KCMH arrivals must enter RAV sector AOB FL260, descending to FL240."
CMH,Arrivals,"4, 7","KCMH arrivals enter Area 4 AOB FL320 via WWSHR APE. Otherwise, enter Area 4 AOB FL280."
CMH,Departures,"4, 8","KCMH departures are routed APE WWSHR CXR, or APE WWSHR Q29."
"DCA, ADW, NSF",Arrivals,"4, 6","KDCA, KADW, and KNSF arrivals from Area 4 are routed AIR J34 BUCKO FRDMM/NUMMY STAR with BUCKO being the furthest 'direct' routing allowed. Area 6 has control for left or right turns up to 15°, south of J64 and is responsible for any resulting coordination."
DTW,Arrivals,"4, 5","KDTW arrivals must enter Area 4 at or below FL300, routed EEEZI BONZZ STAR or EEEZI KLYNK STAR."
DTW,Arrivals,"4, 6","KDTW arrivals must enter Area 4 at or below FL300, routed KOZAR BONZZ STAR or KOZAR KLYNK STAR, with EEEZI being the furthest direct routing allowed. Area 4 has control for right turns on contact, and is responsible for any resulting coordination."
DTW,Arrivals,"4, 8","KDTW arrivals must enter Area 8 on the correct route for the known flow, descending at pilot’s discretion to FL240. Area 8 has control, on contact, to issue the 'descend via' clearance."
DTW sats,Arrivals,"4, 5, 6",KDTW satellite arrivals routed via FOREY STAR must enter RAV sector at or below FL300 with NACCA being the furthest direct routing allowed.
"DTW, DTW sats",Departures via ESSBE,"2, 4, 5",Area 4 is responsible for pointouts to area 5 on D21 ESSBE departures.
"DTW, DTW sats",Departures via BGHRT,"4, 8",Area 4 has control for up to 30° right turns south of J60 and AOA FL240 on D21 departures via FEZIK.
IAD,Arrivals,"4, 6","KIAD arrivals from Area 4 are routed AIR MGW GIBBZ STAR with MGW being the furthest 'direct' routing allowed. Area 6 has control for left or right turns up to 15°, south of J64 and is responsible for any resulting coordination."
TOL,Arrivals,"4, 5",KTOL arrivals must enter RAV sector AOB FL300.
UNV,Arrivals,"4, 5",KUNV arrivals from Area 4 must enter Area 5 airspace AOB FL310.
"ABE, AVP",Departures,"5, 6",Area 6 has control for left turns up to 20°.
"BKL, CGF",Arrivals,"5, 7","KBKL/KCGF arrivals must be routed via TRYBE STAR, and handed off to the YNG sector."
"BKL, CGF",Arrivals,"5, 6",KBKL and KCGF arrivals enter Area 5 AOB FL300 descending to FL240 and are handed off to the BKI sector.
BFD,Arrivals,"5, 7",Area 5 gives Area 7 control for turns and descent of KBFD arrivals upon completion of handoff and frequency change.
BUF,Arrivals,"5, 7",KBUF arrivals routed via DKK must enter Area 7 at or below FL270 descending to FL240.
"BUF, IAG",Arrivals,"5, 6",KBUF/KIAG arrivals west of ESL must be routed DKK direct; KBUF/KIAG arrivals east of ESL must be routed BENEE direct.
"BUF, IAG, YHM",Arrivals,"5, 6","KBUF, CYHM and KIAG arrivals must enter Area 5 at or below FL310."
"BUF, IAG, YHM",Arrivals,"5, 7",KBUF arrivals east of TDT and CYHM/KIAG arrivals must enter Area 7 at or below FL280. KBUF arrival aircraft west of TDT must be routed DKK BUF.
"CAK, AKR, 1G3",Arrivals,"5, 6, 8",KCAK arrivals must be issued the ZZIPS STAR and may be cleared no further direct than ATWOO or FIITE.
CAK,Departures,"5, 8",Area 5 has control for turns not to exceed 15° (left or right) on contact.
CLE,Arrivals,"5, 6",KCLE arrivals must enter Area 5 at or below FL320. Area 6 may clear aircraft no further direct than UPPRR TRYBE STAR.
CLE,Arrivals,"5, 7","KCLE arrivals must enter Area 7 with a clearance to FL240, routed no further direct than UPPRR TRYBE STAR. Pilot’s discretion descent is approved. Area 7 will have control to issue the “descend via” clearance on contact."
CMH,Arrivals,"5, 6",KCMH arrivals enter Area 6 at or below FL340.
CMH,Arrivals,"5, 7",KCMH arrivals enter Area 5 AOB FL320 if routed via WWSHR or FL300 if routed via direct APE.
CVG,Arrivals,"5, 6",KCVG arrivals are routed via CINCE STAR or TIGRR STAR and enter Area 6 descending to FL380 or requested lower altitude.
"DTW, DTW sats",Departures,"2, 4, 5",Area 4 is responsible for pointouts to area 5 on D21 ESSBE departures.
EWR,Arrivals,"5, 7",Area 5 gives Area 7 control for speed adjustment and left turns up to 30° on KEWR arrival aircraft that are on or north of J146.
LGA,Arrivals,"5, 7",Area 7 gives Area 5 control for speed adjustment and right turns up to 30° on KLGA arrival aircraft that are at or above FL240 and on or south of J584.
OYM,Arrivals,"5, 7",Area 7 gives Area 5 control for turns and descent of KOYM arrivals upon completion of handoff and frequency change.
"PHL, PHL sats",Arrivals,"5, 6",KPHL and KPHL satellites arrivals routed via EWC JST are Area 6’s control for right turns once the aircraft is between a point 10 miles northwest of EWC and JST.
"PHL, PHL sats, IAD, DCA",Arrivals,"5, 7","KPHL, KPHL satellites, KIAD and KDCA arrivals handed off by BFD sector via PSB are AOB FL270. BKI sector has control south of J584 to descend to FL250 per the ZNY LOA."
"RDG, LNS, MDT, CXY, PHL",Prop Arrivals,"5, 6","KRDG, KLNS, KMDT, and KCXY arrivals, and KPHL area prop arrivals must be descended to FL240 and handed off to the IHD sector."
PIT,Arrivals,"5, 7",KPIT arrivals from the BFD sector enter Area 5 AOB FL240. BFD sector establishes initial spacing for the KPIT arrivals over SLT.
PIT,Arrivals,5,CIP sector may issue discretionary descents to KPIT arrivals from the BKI sector at FL240. BKI sector is responsible for advising CIP sector when discretionary descent cannot be approved.
PIT,Departures,5,"For KPIT departures to the northeast requesting AOA FL240, the BKI sector is responsible for any required point outs to the BFD sector."
PIT,Departures,"5, 8",KPIT departures to KCVG and KCVG satellites are restricted to at or below FL220.
ROC,Arrivals,"5, 6",KROC arrivals must enter Area 5 at or below FL350 descending to FL330.
ROC,Arrivals,"5, 7",KROC arrivals enter Area 7 at or below FL290 descending to FL280 from Area 5.
ROC,Departures,"5, 7",BFD/WRN sector is responsible for pointing out KROC departures routed direct PSB to MIP sector.
SYR,Arrivals,"5, 6",KSYR arrivals that are routed NABOR KSYR must enter Area 5 AOB FL370. Area 6 may clear aircraft direct NABOR entering Area 5 west of JST.
SYR,Arrivals,"5, 6","KSYR arrivals that are routed via PSB are not altitude restricted, however, IRL sector must ensure KSYR arrivals enter Area 5 descending to FL270 to meet the ZNY letter of agreement. Area 5 has control for turns up to 15° left on or north of J152."
SYR,Arrivals,"5, 7",KSYR arrivals east of TDT must be routed NABOR KSYR and are restricted to at or below FL340 from Area 5 to Area 7.
YYZ,Arrivals,"5, 6, 7",CYYZ arrivals must enter Area 5 at or below FL390. CYYZ arrivals within 25 miles of EWC may be routed direct OXMAN LINNG STAR. CYYZ arrivals further east must be routed WOZEE LINNG STAR.
P.O.,ZDC,"5, 6",The ZDC EKN sector owns FL240. Aircraft entering ZDC below FL250 must be pointed out to the EKN sector. MGW sector is responsible for this point out when the AIR sector releases FL250 or above and redirects the handoff to the MOR sector.
CMH,Departures,"4, 8","KCMH jet departures to KEWR should not be routed direct SLT, proper routing is via: YNG SLT, or CXR SLT."
